support,itemsets
0.23836821757099053,frozenset({'mineral water'})
0.13211571790427942,frozenset({'green tea'})
0.07652313024930009,frozenset({'low fat yogurt'})
0.07145713904812692,frozenset({'shrimp'})
0.0658578856152513,frozenset({'olive oil'})
0.06332489001466471,frozenset({'frozen smoothie'})
0.047460338621517134,frozenset({'honey'})
0.04252766297826956,frozenset({'salmon'})
0.03332888948140248,frozenset({'avocado'})
0.03186241834422077,frozenset({'cottage cheese'})
0.030395947207039063,frozenset({'tomato juice'})
0.026663111585121985,frozenset({'energy drink'})
0.025729902679642713,frozenset({'vegetables mix'})
0.020397280362618318,frozenset({'almonds'})
0.011465137981602452,frozenset({'yams'})
0.009332089054792695,frozenset({'whole weat flour'})
0.009065457938941474,frozenset({'green grapes'})
0.008932142381015865,frozenset({'antioxydant juice'})
0.007065724570057326,frozenset({'spinach'})
0.004932675643247567,frozenset({'salad'})
0.17970937208372217,frozenset({'eggs'})
0.0871883748833489,frozenset({'burgers'})
0.020930542594320756,frozenset({'meatballs'})
0.0041327822956939075,frozenset({'chutney'})
0.06252499666711105,frozenset({'turkey'})
0.12958272230369283,frozenset({'milk'})
0.058525529929342755,frozenset({'whole wheat rice'})
0.027063058258898813,frozenset({'energy bar'})
0.1709105452606319,frozenset({'french fries'})
0.029462738301559793,frozenset({'whole wheat pasta'})
0.05052659645380616,frozenset({'soup'})
0.01559792027729636,frozenset({'light cream'})
0.007732302359685375,frozenset({'shallot'})
0.17411011865084655,frozenset({'spaghetti'})
0.09532062391681109,frozenset({'frozen vegetables'})
0.006532462338354886,frozenset({'pet food'})
0.08038928142914278,frozenset({'cookies'})
0.0510598586855086,frozenset({'cooking oil'})
0.04679376083188908,frozenset({'champagne'})
0.1638448206905746,frozenset({'chocolate'})
0.05999200106652446,frozenset({'chicken'})
0.023063591521130515,frozenset({'oil'})
0.06839088121583789,frozenset({'tomatoes'})
0.022263698173576856,frozenset({'fresh tuna'})
0.014264764698040262,frozenset({'black tea'})
0.011998400213304892,frozenset({'extra dark chocolate'})
0.01853086255165978,frozenset({'protein bar'})
0.028129582722303693,frozenset({'red wine'})
0.026529796027196375,frozenset({'pepper'})
0.01573123583522197,frozenset({'pasta'})
0.004932675643247567,frozenset({'shampoo'})
0.018797493667511,frozenset({'rice'})
0.006265831222503666,frozenset({'sparkling water'})
0.09505399280095987,frozenset({'pancakes'})
0.026529796027196375,frozenset({'ham'})
0.011465137981602452,frozenset({'body spray'})
0.0523930142647647,frozenset({'grated cheese'})
0.01653112918277563,frozenset({'white wine'})
0.008132249033462205,frozenset({'toothpaste'})
0.043060925209972005,frozenset({'fresh bread'})
0.01986401813091588,frozenset({'parmesan cheese'})
0.09825356619117451,frozenset({'ground beef'})
0.0793227569657379,frozenset({'escalope'})
0.04946007199040128,frozenset({'herb & pepper'})
0.014131449140114652,frozenset({'tomato sauce'})
0.010931875749900012,frozenset({'magazines'})
0.021330489268097587,frozenset({'strawberries'})
0.007732302359685375,frozenset({'strong cheese'})
0.005999200106652446,frozenset({'pickles'})
0.08105585921877083,frozenset({'cake'})
0.03239568057592321,frozenset({'hot dogs'})
0.03372883615517931,frozenset({'brownies'})
0.025729902679642713,frozenset({'cereals'})
0.008398880149313425,frozenset({'clothes accessories'})
0.008665511265164644,frozenset({'bug spray'})
0.024130115984535395,frozenset({'muffins'})
0.027196373816824423,frozenset({'light mayo'})
0.013464871350486601,frozenset({'gums'})
0.006265831222503666,frozenset({'soda'})
0.010531929076123183,frozenset({'cider'})
0.004799360085321957,frozenset({'corn'})
0.027329689374750034,frozenset({'yogurt cake'})
0.0174643380882549,frozenset({'mint'})
0.030129316091187842,frozenset({'butter'})
0.004666044527396347,frozenset({'asparagus'})
0.022530329289428077,frozenset({'french wine'})
0.009198773496867084,frozenset({'salt'})
0.010798560191974404,frozenset({'barbecue sauce'})
0.009465404612718305,frozenset({'zucchini'})
0.0061325156645780565,frozenset({'mayonnaise'})
0.01533128916144514,frozenset({'carrots'})
0.019064124783362217,frozenset({'mushroom cream sauce'})
0.009732035728569524,frozenset({'candy bars'})
0.0061325156645780565,frozenset({'chili'})
0.0041327822956939075,frozenset({'mashed potato'})
0.010398613518197574,frozenset({'nonfat milk'})
0.004266097853619517,frozenset({'chocolate bread'})
0.005599253432875617,frozenset({'mint green tea'})
0.013198240234635382,frozenset({'eggplant'})
0.009198773496867084,frozenset({'blueberries'})
0.008665511265164644,frozenset({'bacon'})
0.013598186908412212,frozenset({'fromage blanc'})
0.006932409012131715,frozenset({'gluten free bar'})
0.004399413411545127,frozenset({'dessert wine'})
0.009065457938941474,frozenset({'flax seed'})
0.005199306759098787,frozenset({'hand protein bar'})
