antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'shrimp'}),frozenset({'frozen vegetables'}),0.07145713904812692,0.09532062391681109,0.01666444474070124,0.23320895522388058,2.44657394843962,0.009853105663323458,1.1798251717289276
frozenset({'frozen vegetables'}),frozenset({'shrimp'}),0.09532062391681109,0.07145713904812692,0.01666444474070124,0.17482517482517482,2.4465739484396196,0.009853105663323458,1.1252680433569309
"frozenset({'mineral water', 'chocolate'})",frozenset({'shrimp'}),0.05265964538061592,0.07145713904812692,0.007598986801759766,0.14430379746835442,2.0194454940487434,0.0038360791995720395,1.0851314499289642
frozenset({'shrimp'}),"frozenset({'mineral water', 'chocolate'})",0.07145713904812692,0.05265964538061592,0.007598986801759766,0.10634328358208955,2.0194454940487434,0.0038360791995720395,1.0600718790730477
"frozenset({'shrimp', 'chocolate'})",frozenset({'spaghetti'}),0.017997600319957337,0.17411011865084655,0.006399146780429276,0.3555555555555556,2.0421303386081338,0.0032655824532909906,1.2815532641624796
"frozenset({'chocolate', 'spaghetti'})",frozenset({'shrimp'}),0.03919477403012932,0.07145713904812692,0.006399146780429276,0.163265306122449,2.284800487359123,0.0035984003625984117,1.1097219557717508
frozenset({'shrimp'}),"frozenset({'chocolate', 'spaghetti'})",0.07145713904812692,0.03919477403012932,0.006399146780429276,0.08955223880597014,2.2848004873591226,0.0035984003625984117,1.055310658032481
frozenset({'spaghetti'}),"frozenset({'shrimp', 'chocolate'})",0.17411011865084655,0.017997600319957337,0.006399146780429276,0.036753445635528334,2.0421303386081338,0.0032655824532909906,1.0194714896519361
"frozenset({'mineral water', 'shrimp'})",frozenset({'spaghetti'}),0.023596853752832957,0.17411011865084655,0.008532195707239034,0.36158192090395475,2.07674271722861,0.004423744700546614,1.2936505221132757
frozenset({'spaghetti'}),"frozenset({'mineral water', 'shrimp'})",0.17411011865084655,0.023596853752832957,0.008532195707239034,0.049004594180704436,2.07674271722861,0.004423744700546614,1.0267169959732692
"frozenset({'mineral water', 'shrimp'})",frozenset({'milk'}),0.023596853752832957,0.12958272230369283,0.007865617917610986,0.3333333333333333,2.5723593964334706,0.00480787337051678,1.3056259165444606
"frozenset({'mineral water', 'milk'})",frozenset({'shrimp'}),0.04799360085321957,0.07145713904812692,0.007865617917610986,0.1638888888888889,2.2935271558872303,0.004436132508022172,1.1105496011384528
frozenset({'shrimp'}),"frozenset({'mineral water', 'milk'})",0.07145713904812692,0.04799360085321957,0.007865617917610986,0.11007462686567164,2.2935271558872308,0.004436132508022172,1.069759811200575
