antecedents,consequents,support
{'nonfat milk'},{'mineral water'},0.48717948717948717
{'mineral water'},{'nonfat milk'},0.021252796420581657
{'eggs'},{'cider'},0.02373887240356083
{'cider'},{'eggs'},0.4050632911392405
{'body spray'},{'mineral water'},0.36046511627906974
{'mineral water'},{'body spray'},0.017337807606263984
{'french fries'},{'body spray'},0.0249609984399376
{'body spray'},{'french fries'},0.37209302325581395
{'spaghetti'},{'extra dark chocolate'},0.023736600306278714
{'extra dark chocolate'},{'spaghetti'},0.34444444444444444
{'mineral water'},{'extra dark chocolate'},0.024049217002237135
{'extra dark chocolate'},{'mineral water'},0.4777777777777778
{'gums'},{'mineral water'},0.36633663366336633
{'mineral water'},{'gums'},0.02069351230425056
{'mineral water'},{'fromage blanc'},0.01901565995525727
{'fromage blanc'},{'mineral water'},0.3333333333333333
{'tomato sauce'},{'chocolate'},0.3584905660377358
{'chocolate'},{'tomato sauce'},0.030919446704637917
{'tomato sauce'},{'ground beef'},0.37735849056603776
{'ground beef'},{'tomato sauce'},0.054274084124830396
{'tomato sauce'},{'mineral water'},0.4056603773584906
{'mineral water'},{'tomato sauce'},0.024049217002237135
{'tomato sauce'},{'spaghetti'},0.44339622641509435
{'spaghetti'},{'tomato sauce'},0.03598774885145482
{'black tea'},{'milk'},0.29906542056074764
{'milk'},{'black tea'},0.03292181069958848
{'black tea'},{'spaghetti'},0.3177570093457944
{'spaghetti'},{'black tea'},0.026033690658499236
{'black tea'},{'eggs'},0.34579439252336447
{'eggs'},{'black tea'},0.02744807121661721
{'black tea'},{'mineral water'},0.37383177570093457
{'mineral water'},{'black tea'},0.02237136465324385
{'carrots'},{'spaghetti'},0.30434782608695654
{'spaghetti'},{'carrots'},0.02679938744257274
{'carrots'},{'mineral water'},0.34782608695652173
{'mineral water'},{'carrots'},0.02237136465324385
{'light cream'},{'chicken'},0.2905982905982906
{'chicken'},{'light cream'},0.07555555555555556
{'light cream'},{'spaghetti'},0.3418803418803419
{'spaghetti'},{'light cream'},0.030627871362940276
{'light cream'},{'mineral water'},0.4700854700854701
{'mineral water'},{'light cream'},0.03076062639821029
{'pasta'},{'shrimp'},0.3220338983050847
{'shrimp'},{'pasta'},0.0708955223880597
{'escalope'},{'pasta'},0.07394957983193277
{'pasta'},{'escalope'},0.3728813559322034
{'mineral water'},{'white wine'},0.018456375838926176
{'white wine'},{'mineral water'},0.2661290322580645
{'spaghetti'},{'white wine'},0.026033690658499236
{'white wine'},{'spaghetti'},0.27419354838709675
{'mint'},{'mineral water'},0.33587786259541985
{'mineral water'},{'mint'},0.024608501118568233
{'protein bar'},{'spaghetti'},0.2733812949640288
{'spaghetti'},{'protein bar'},0.02909647779479326
{'protein bar'},{'mineral water'},0.4172661870503597
{'mineral water'},{'protein bar'},0.03243847874720358
{'rice'},{'ground beef'},0.23404255319148937
{'ground beef'},{'rice'},0.04477611940298507
{'french fries'},{'rice'},0.028081123244929798
{'rice'},{'french fries'},0.2553191489361702
{'rice'},{'spaghetti'},0.2695035460992908
{'spaghetti'},{'rice'},0.02909647779479326
{'rice'},{'chocolate'},0.28368794326241137
{'chocolate'},{'rice'},0.03254678600488202
{'rice'},{'mineral water'},0.41134751773049644
{'mineral water'},{'rice'},0.03243847874720358
{'spaghetti'},{'mushroom cream sauce'},0.02450229709035222
{'mushroom cream sauce'},{'spaghetti'},0.22377622377622378
{'chocolate'},{'mushroom cream sauce'},0.026851098454027666
{'mushroom cream sauce'},{'chocolate'},0.23076923076923078
{'french fries'},{'mushroom cream sauce'},0.027301092043681748
{'mushroom cream sauce'},{'french fries'},0.24475524475524477
{'escalope'},{'mushroom cream sauce'},0.07226890756302522
{'mushroom cream sauce'},{'escalope'},0.3006993006993007
{'parmesan cheese'},{'chocolate'},0.21476510067114093
{'chocolate'},{'parmesan cheese'},0.026037428803905614
{'parmesan cheese'},{'eggs'},0.22818791946308725
{'eggs'},{'parmesan cheese'},0.025222551928783383
{'parmesan cheese'},{'mineral water'},0.2348993288590604
{'mineral water'},{'parmesan cheese'},0.019574944071588368
{'parmesan cheese'},{'frozen vegetables'},0.2751677852348993
{'frozen vegetables'},{'parmesan cheese'},0.057342657342657345
{'parmesan cheese'},{'spaghetti'},0.3422818791946309
{'spaghetti'},{'parmesan cheese'},0.03905053598774885
{'french fries'},{'almonds'},0.02574102964118565
{'almonds'},{'french fries'},0.21568627450980393
{'green tea'},{'almonds'},0.03834510595358224
{'almonds'},{'green tea'},0.24836601307189543
{'almonds'},{'burgers'},0.2549019607843137
{'burgers'},{'almonds'},0.05963302752293578
{'almonds'},{'milk'},0.2549019607843137
{'milk'},{'almonds'},0.040123456790123455
{'chocolate'},{'almonds'},0.03661513425549227
{'almonds'},{'chocolate'},0.29411764705882354
{'almonds'},{'spaghetti'},0.29411764705882354
{'spaghetti'},{'almonds'},0.03445635528330781
{'almonds'},{'eggs'},0.3202614379084967
{'eggs'},{'almonds'},0.03635014836795252
{'almonds'},{'mineral water'},0.37254901960784315
{'mineral water'},{'almonds'},0.031879194630872486
{'meatballs'},{'eggs'},0.21019108280254778
{'eggs'},{'meatballs'},0.024480712166172106
{'meatballs'},{'milk'},0.2611464968152866
{'milk'},{'meatballs'},0.04218106995884774
{'meatballs'},{'spaghetti'},0.3057324840764331
{'spaghetti'},{'meatballs'},0.036753445635528334
{'meatballs'},{'mineral water'},0.36942675159235666
{'mineral water'},{'meatballs'},0.03243847874720358
{'spaghetti'},{'strawberries'},0.023736600306278714
{'strawberries'},{'spaghetti'},0.19375
{'mineral water'},{'strawberries'},0.021252796420581657
{'strawberries'},{'mineral water'},0.2375
{'french fries'},{'strawberries'},0.033541341653666144
{'strawberries'},{'french fries'},0.26875
{'frozen vegetables'},{'fresh tuna'},0.043356643356643354
{'fresh tuna'},{'frozen vegetables'},0.18562874251497005
{'fresh tuna'},{'milk'},0.2155688622754491
{'milk'},{'fresh tuna'},0.037037037037037035
{'chocolate'},{'fresh tuna'},0.029292107404393815
{'fresh tuna'},{'chocolate'},0.2155688622754491
{'pancakes'},{'fresh tuna'},0.05329593267882188
{'fresh tuna'},{'pancakes'},0.2275449101796407
{'eggs'},{'fresh tuna'},0.032640949554896145
{'fresh tuna'},{'eggs'},0.2634730538922156
{'spaghetti'},{'fresh tuna'},0.03905053598774885
{'fresh tuna'},{'spaghetti'},0.30538922155688625
{'mineral water'},{'fresh tuna'},0.03691275167785235
{'fresh tuna'},{'mineral water'},0.39520958083832336
{'french wine'},{'burgers'},0.1834319526627219
{'burgers'},{'french wine'},0.047400611620795105
{'french wine'},{'pancakes'},0.1834319526627219
{'pancakes'},{'french wine'},0.043478260869565216
{'french wine'},{'milk'},0.21893491124260356
{'milk'},{'french wine'},0.03806584362139918
{'chocolate'},{'french wine'},0.03173311635475997
{'french wine'},{'chocolate'},0.23076923076923078
{'french wine'},{'eggs'},0.26627218934911245
{'eggs'},{'french wine'},0.03338278931750742
{'french wine'},{'spaghetti'},0.3431952662721893
{'spaghetti'},{'french wine'},0.0444104134762634
{'french wine'},{'mineral water'},0.3668639053254438
{'mineral water'},{'french wine'},0.03467561521252797
{'oil'},{'milk'},0.1791907514450867
{'milk'},{'oil'},0.03189300411522634
{'oil'},{'green tea'},0.1791907514450867
{'green tea'},{'oil'},0.03128153380423814
