antecedents,consequents,confidence
"{'salmon', 'spaghetti'}",{'mineral water'},0.504950495049505
"{'pancakes', 'soup'}",{'mineral water'},0.6274509803921569
"{'frozen vegetables', 'soup'}",{'mineral water'},0.6333333333333333
"{'soup', 'olive oil'}",{'mineral water'},0.582089552238806
"{'soup', 'eggs'}",{'mineral water'},0.5441176470588235
"{'ground beef', 'soup'}",{'mineral water'},0.5205479452054794
"{'soup', 'chocolate'}",{'mineral water'},0.5526315789473685
"{'soup', 'spaghetti'}",{'mineral water'},0.5233644859813084
"{'milk', 'soup'}",{'mineral water'},0.5614035087719298
"{'pancakes', 'cooking oil'}",{'mineral water'},0.5932203389830508
"{'ground beef', 'cooking oil'}",{'spaghetti'},0.5714285714285714
"{'eggs', 'cooking oil'}",{'mineral water'},0.5454545454545454
"{'pancakes', 'whole wheat rice'}",{'mineral water'},0.5961538461538461
"{'chicken', 'pancakes'}",{'mineral water'},0.5294117647058824
"{'ground beef', 'chicken'}",{'spaghetti'},0.5070422535211268
"{'chicken', 'chocolate'}",{'mineral water'},0.5181818181818182
"{'milk', 'turkey'}",{'mineral water'},0.5411764705882353
"{'tomatoes', 'olive oil'}",{'mineral water'},0.5740740740740741
"{'tomatoes', 'olive oil'}",{'spaghetti'},0.6111111111111112
"{'shrimp', 'olive oil'}",{'mineral water'},0.5573770491803278
"{'frozen vegetables', 'olive oil'}",{'spaghetti'},0.5058823529411764
"{'frozen vegetables', 'olive oil'}",{'mineral water'},0.5764705882352941
"{'olive oil', 'chocolate'}",{'mineral water'},0.5040650406504065
"{'ground beef', 'shrimp'}",{'spaghetti'},0.5232558139534884
"{'ground beef', 'pancakes'}",{'mineral water'},0.5137614678899083
"{'ground beef', 'frozen vegetables'}",{'spaghetti'},0.5118110236220472
"{'ground beef', 'frozen vegetables', 'spaghetti'}",{'mineral water'},0.5076923076923077
"{'ground beef', 'frozen vegetables'}",{'mineral water'},0.5433070866141733
"{'frozen vegetables', 'chocolate', 'spaghetti'}",{'mineral water'},0.5254237288135594
"{'milk', 'frozen vegetables', 'spaghetti'}",{'mineral water'},0.5483870967741935
"{'ground beef', 'eggs'}",{'mineral water'},0.5066666666666667
"{'ground beef', 'milk'}",{'mineral water'},0.503030303030303
